Position,Const,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Directors
81,tt3411444,Ferdinand,https://www.imdb.com/title/tt3411444/,movie,6.7,108,2017,"Animation, Adventure, Comedy, Drama, Family",61913,Carlos Saldanha
82,tt3758172,Jungle,https://www.imdb.com/title/tt3758172/,movie,6.7,115,2017,"Action, Adventure, Biography, Drama, Thriller",61375,Greg McLean
18,tt4630562,The Fate of the Furious,https://www.imdb.com/title/tt4630562/,movie,6.6,136,2017,"Action, Crime, Thriller",248314,F. Gary Gray
47,tt2568862,Going in Style,https://www.imdb.com/title/tt2568862/,movie,6.6,96,2017,"Comedy, Crime",89903,Zach Braff
48,tt5442430,Life,https://www.imdb.com/title/tt5442430/,movie,6.6,104,2017,"Horror, Sci-Fi, Thriller",246206,Daniel Espinosa
69,tt5109784,Mother!,https://www.imdb.com/title/tt5109784/,movie,6.6,121,2017,"Drama, Horror, Mystery",243221,Darren Aronofsky
83,tt5962210,Ingrid Goes West,https://www.imdb.com/title/tt5962210/,movie,6.6,98,2017,"Comedy, Drama",47072,Matt Spicer
85,tt5308322,Happy Death Day,https://www.imdb.com/title/tt5308322/,movie,6.6,96,2017,"Comedy, Horror, Mystery, Thriller",157824,Christopher Landon
92,tt4738174,Bon Cop Bad Cop 2,https://www.imdb.com/title/tt4738174/,movie,6.6,126,2017,"Action, Comedy, Crime",4350,Alain Desrochers
8,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/,movie,6.5,129,2017,"Action, Adventure, Fantasy",335184,"Espen Sandberg, Joachim Rønning"
38,tt5140878,Annabelle: Creation,https://www.imdb.com/title/tt5140878/,movie,6.5,109,2017,"Horror, Mystery, Thriller",147484,David F. Sandberg
25,tt2316204,Alien: Covenant,https://www.imdb.com/title/tt2316204/,movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",295935,Ridley Scott
41,tt2239822,Valerian and the City of a Thousand Planets,https://www.imdb.com/title/tt2239822/,movie,6.4,136,2017,"Action, Adventure, Fantasy, Sci-Fi",193028,Luc Besson
46,tt3922818,The Space Between Us,https://www.imdb.com/title/tt3922818/,movie,6.4,120,2017,"Drama, Romance, Sci-Fi",55486,Peter Chelsom
93,tt2226597,The Mountain Between Us,https://www.imdb.com/title/tt2226597/,movie,6.4,112,2017,"Drama, Thriller",79483,Hany Abu-Assad
95,tt3296908,HHhH,https://www.imdb.com/title/tt3296908/,movie,6.4,120,2017,"Action, Biography, Thriller, War",18030,Cédric Jimenez
13,tt1219827,Ghost in the Shell,https://www.imdb.com/title/tt1219827/,movie,6.3,107,2017,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",224346,Rupert Sanders
63,tt3874544,The Boss Baby,https://www.imdb.com/title/tt3874544/,movie,6.3,97,2017,"Animation, Adventure, Comedy, Family, Fantasy",137298,Tom McGrath
73,tt1734493,Unlocked,https://www.imdb.com/title/tt1734493/,movie,6.3,98,2017,"Action, Thriller",37820,Michael Apted
91,tt5519340,Bright,https://www.imdb.com/title/tt5519340/,movie,6.3,117,2017,"Action, Fantasy, Thriller",198542,David Ayer
106,tt5638642,The Ritual,https://www.imdb.com/title/tt5638642/,movie,6.3,94,2017,"Horror, Mystery, Thriller",114449,David Bruckner
7,tt3469046,Despicable Me 3,https://www.imdb.com/title/tt3469046/,movie,6.2,89,2017,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",147793,"Eric Guillon, Kyle Balda, Pierre Coffin"
50,tt5155780,The Discovery,https://www.imdb.com/title/tt5155780/,movie,6.2,102,2017,"Drama, Romance, Sci-Fi, Thriller",36687,Charlie McDowell
59,tt3564472,Girls Trip,https://www.imdb.com/title/tt3564472/,movie,6.2,122,2017,"Adventure, Comedy, Drama",39835,Malcolm D. Lee
88,tt1961175,American Assassin,https://www.imdb.com/title/tt1961175/,movie,6.2,111,2017,"Action, Thriller",87265,Michael Cuesta
108,tt4695012,It Comes at Night,https://www.imdb.com/title/tt4695012/,movie,6.2,91,2017,"Drama, Horror, Mystery, Sci-Fi, Thriller",100055,Trey Edward Shults
9,tt0974015,Justice League,https://www.imdb.com/title/tt0974015/,movie,6.1,120,2017,"Action, Adventure, Fantasy, Sci-Fi",471415,Zack Snyder
80,tt2331047,Rememory,https://www.imdb.com/title/tt2331047/,movie,6.1,111,2017,"Drama, Mystery, Sci-Fi",17487,Mark Palansky
107,tt4547194,I Kill Giants,https://www.imdb.com/title/tt4547194/,movie,6.1,106,2017,"Drama, Fantasy, Thriller",32616,Anders Walter
17,tt2398241,Smurfs: The Lost Village,https://www.imdb.com/title/tt2398241/,movie,6,90,2017,"Animation, Adventure, Comedy, Family, Fantasy",23475,Kelly Asbury
43,tt3014284,The Lego Ninjago Movie,https://www.imdb.com/title/tt3014284/,movie,6,101,2017,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi, Thriller",29090,"Paul Fisher, Bob Logan, Charlie Bean"
54,tt5657846,Daddy's Home 2,https://www.imdb.com/title/tt5657846/,movie,6,100,2017,Comedy,79789,Sean Anders
66,tt0493405,CHIPS,https://www.imdb.com/title/tt0493405/,movie,6,100,2017,"Action, Comedy, Crime",50132,Dax Shepard
22,tt3717490,Power Rangers,https://www.imdb.com/title/tt3717490/,movie,5.9,124,2017,"Action, Adventure, Fantasy, Sci-Fi",112550,Dean Israelite
74,tt1666185,All Eyez on Me,https://www.imdb.com/title/tt1666185/,movie,5.9,139,2017,"Biography, Drama, Music",24397,Benny Boom
105,tt5752606,Maze,https://www.imdb.com/title/tt5752606/,movie,5.9,92,2017,"Biography, Crime, Drama, History, Mystery, Thriller",3498,Stephen Burke
20,tt4765284,Pitch Perfect 3,https://www.imdb.com/title/tt4765284/,movie,5.8,93,2017,"Comedy, Music",69968,Trish Sie
104,tt1389072,Downsizing,https://www.imdb.com/title/tt1389072/,movie,5.8,135,2017,"Drama, Fantasy, Sci-Fi",119115,Alexander Payne
42,tt3348730,Jigsaw,https://www.imdb.com/title/tt3348730/,movie,5.7,92,2017,"Horror, Mystery, Thriller",89279,"Michael Spierig, Peter Spierig"
78,tt1131724,2:22,https://www.imdb.com/title/tt1131724/,movie,5.7,98,2017,"Drama, Mystery, Romance, Sci-Fi, Thriller",25181,Paul Currie
35,tt3401882,Fist Fight,https://www.imdb.com/title/tt3401882/,movie,5.6,91,2017,Comedy,44999,Richie Keen
55,tt6359956,A Bad Moms Christmas,https://www.imdb.com/title/tt6359956/,movie,5.6,104,2017,Comedy,55832,"Jon Lucas, Scott Moore"
60,tt1648190,The Dark Tower,https://www.imdb.com/title/tt1648190/,movie,5.6,95,2017,"Action, Adventure, Fantasy, Sci-Fi, Western",143928,Nikolaj Arcel
77,tt2932536,47 Meters Down,https://www.imdb.com/title/tt2932536/,movie,5.6,89,2017,"Horror, Mystery, Thriller",59852,Johannes Roberts
31,tt1469304,Baywatch,https://www.imdb.com/title/tt1469304/,movie,5.5,116,2017,"Action, Comedy, Crime",197779,Seth Gordon
36,tt3486626,The Nut Job 2: Nutty by Nature,https://www.imdb.com/title/tt3486626/,movie,5.5,91,2017,"Animation, Adventure, Comedy, Crime, Family",7116,Cal Brunker
45,tt1966359,Father Figures,https://www.imdb.com/title/tt1966359/,movie,5.5,113,2017,"Comedy, Drama",20842,Lawrence Sher
23,tt2345759,The Mummy,https://www.imdb.com/title/tt2345759/,movie,5.4,111,2017,"Action, Adventure, Fantasy, Horror, Thriller",201397,Alex Kurtzman
101,tt6204340,Bullet Head,https://www.imdb.com/title/tt6204340/,movie,5.4,93,2017,"Crime, Drama, Thriller",11106,Paul Solet
51,tt1981128,Geostorm,https://www.imdb.com/title/tt1981128/,movie,5.3,109,2017,"Action, Sci-Fi, Thriller",115317,Dean Devlin
52,tt4287320,The Circle,https://www.imdb.com/title/tt4287320/,movie,5.3,110,2017,"Drama, Mystery, Sci-Fi, Thriller",98044,James Ponsoldt
67,tt4694544,Once Upon a Time in Venice,https://www.imdb.com/title/tt4694544/,movie,5.3,94,2017,"Action, Adventure, Comedy, Crime, Mystery",20572,Mark Cullen
103,tt3266284,November Criminals,https://www.imdb.com/title/tt3266284/,movie,5.3,86,2017,"Crime, Drama, Mystery",9496,Sacha Gervasi
21,tt3371366,Transformers: The Last Knight,https://www.imdb.com/title/tt3371366/,movie,5.2,154,2017,"Action, Adventure, Sci-Fi",165026,Michael Bay
29,tt1293847,xXx: Return of Xander Cage,https://www.imdb.com/title/tt1293847/,movie,5.2,107,2017,"Action, Adventure, Thriller",96000,D.J. Caruso
39,tt4799050,Rough Night,https://www.imdb.com/title/tt4799050/,movie,5.2,101,2017,Comedy,54884,Lucia Aniello
86,tt2039338,Flatliners,https://www.imdb.com/title/tt2039338/,movie,5.2,109,2017,"Drama, Horror, Mystery, Sci-Fi, Thriller",50015,Niels Arden Oplev
65,tt1758810,The Snowman,https://www.imdb.com/title/tt1758810/,movie,5.1,119,2017,"Crime, Drama, Mystery, Thriller",70008,Tomas Alfredson
94,tt3462710,Unforgettable,https://www.imdb.com/title/tt3462710/,movie,5.1,100,2017,"Drama, Thriller",16556,Denise Di Novi
100,tt1785635,The Vault,https://www.imdb.com/title/tt1785635/,movie,4.9,91,2017,"Crime, Horror, Mystery, Thriller",13473,Dan Bush
62,tt2334871,Snatched,https://www.imdb.com/title/tt2334871/,movie,4.7,90,2017,"Action, Adventure, Comedy",37112,Jonathan Levine
19,tt4465564,Fifty Shades Darker,https://www.imdb.com/title/tt4465564/,movie,4.6,118,2017,"Drama, Romance, Thriller",108833,James Foley
44,tt0498381,Rings,https://www.imdb.com/title/tt0498381/,movie,4.5,102,2017,"Drama, Horror, Mystery, Romance",42591,F. Javier Gutiérrez
49,tt5513260,Surf's Up 2: WaveMania,https://www.imdb.com/title/tt5513260/,video,4.5,84,2016,"Animation, Adventure, Comedy, Family, Sport",2919,Henry Yu
64,tt4917224,9-Nov,https://www.imdb.com/title/tt4917224/,movie,4.5,90,2017,"Action, Drama",4442,Martin Guigui
109,tt5159414,Escape Room,https://www.imdb.com/title/tt5159414/,movie,4.2,81,2017,"Horror, Thriller",13552,Will Wernick
27,tt4877122,The Emoji Movie,https://www.imdb.com/title/tt4877122/,movie,3.4,86,2017,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",69468,Tony Leondis
